category,productImage,productUrl,productPrice,productOrigin,productName
Office Products,http://ecx.images-amazon.com/images/I/51gg%2BR4Kc6L._SY300_.jpg,http://www.amazon.com/Paper-Mate-Retractable-Ballpoint-1781564/dp/B004U9TEEA,$2.98,,"Paper Mate InkJoy 300 RT Retractable Medium Point Ballpoint Pens, 8 Pack, Assorted Colors (1781564)"
Office Products,http://ecx.images-amazon.com/images/I/51U4Y5KM5IL._SY300_.jpg,http://www.amazon.com/Avery-Economy-Clear-Protectors-75091/dp/B00006IC89,$10.19,,"Avery Economy Clear Sheet Protectors, Acid Free, Box of 100 (75091)"
Office Products,http://ecx.images-amazon.com/images/I/51EqPBSIrbL._SY300_.jpg,http://www.amazon.com/Avery-Address-Labels-Inkjet-Printers/dp/B00004Z5SM,$6.87,,"Avery Easy Peel Address Labels, Inkjet Printers, White, 1 x 2-5/8 Inch, Box of 750 labels (25 Sheets / 30 per Sheet) (08160)"
Office Products,http://ecx.images-amazon.com/images/I/41vWhVEwvbL._SY300_.jpg,http://www.amazon.com/Scotch-Thermal-Laminating-100-Pack-TP3854-100/dp/B007VBXB48,$18.21,,"Scotch Thermal Laminating Pouches 8.9 x 11.4 Inches 3 mil, 100-Pack (TP3854-100)"
Office Products,http://ecx.images-amazon.com/images/I/51G6t0R2xuL._SY300_.jpg,http://www.amazon.com/Expo-Chisel-Erase-Markers-Colored/dp/B000J09OLM,$12.26,,"Expo Low Odor Chisel Tip Dry Erase Markers, 16 Colored Markers"
Office Products,http://ecx.images-amazon.com/images/I/51xGD6X5QdL._SY300_.jpg,http://www.amazon.com/Pilot-Retractable-Premium-Roller-Point/dp/B001GAOTSW,$11.25,,"Pilot G2 Retractable Premium Gel Ink Roller Ball Pens, Fine Point, Black,  Box of 12 (31020)"
Office Products,http://ecx.images-amazon.com/images/I/51Xl5lR19SL._SX300_.jpg,http://www.amazon.com/AT-A-GLANCE-Monthly-Desk-Calendar-SK24-00/dp/B00K28EHNQ,$8.29,,"AT-A-GLANCE Monthly Desk Calendar 2015, 22 x 17 Inch Page Size (SK24-00)"
Office Products,http://ecx.images-amazon.com/images/I/31SGEFLLv%2BL._SY300_.jpg,http://www.amazon.com/VELCRO-Brand-ONE-WRAP-Self-Gripping-Reusable/dp/B001E1Y5O6,$5.74,,"VELCRO Brand  - ONE-WRAP Thin Self-Gripping Cable Ties: Reusable, Light Duty - 8"" x 1/2"" Ties, 100 Pack - Black"
Music,,http://www.amazon.com/Rock-Bust-AC-DC/dp/B00O3UBB1U,,,
Music,,http://www.amazon.com/Christmas-at-Downton-Abbey-2CD/dp/B00NTMR7QQ,,,
